"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
-4.042688138,-3.155102746,-2.630782174,-2.630510092,-1.758325576,-4.482373424,-2.577436361,-3.039806691,-1.035672828,-1.137504294,-2.908742286,-2.229995518,-5.398796379,-2.746821777,-2.9998206,-1.903341853,-2.231730791,-3.609480366,-2.067836727,-2.614596318,-2.371444196,-3.896510002,-1.821696924,-3.391054275,-4.114575945,-2.992330953,-3.269301007,-1.637789259,-2.29525059,-4.141427524
-3.461994138,-2.561642315,-3.102451339,-2.491578337,-2.953546754,-4.918726271,-2.983130588,-3.842626805,-3.156655754,-0.458683806,-1.085849801,-1.59504105,-2.817718572,-1.200835387,-2.080781674,-1.579203739,-0.503803568,0.037808566,-1.694563054,-0.306253494,-3.93463102,-4.089969776,-1.821866587,-3.214206812,-3.287577284,-3.156643356,-3.609116832,-3.437484166,-2.765862781,-6.043270569
-2.310949526,-0.209662693,0.349715367,-0.550971102,1.023385882,0.368731768,-0.237239867,-0.308046762,0.028590846,-1.894903383,-2.265102561,0.398287167,-1.013043516,0.732387402,0.005295689,0.91920689,-2.333347463,-1.322700565,0.394140358,0.430738561,-0.208686888,-1.435885128,0.016399198,1.282057469,2.049129896,-1.306135721,-0.678915248,-1.165015004,-1.969525333,-6.397003576
-5.767993382,-4.215233166,-4.282214822,-3.504292189,-2.922229924,-6.025413819,-4.194990565,-5.286402723,-3.043121811,-1.628255915,-4.035584155,-3.28420185,-6.13019395,-4.956771873,-3.908808414,-3.301063919,-5.677130898,-5.520252528,-3.636937998,-4.565487305,-2.669578651,-3.960456713,-3.25955806,-3.514504152,-5.569942356,-2.927410389,-3.087527153,-2.841967985,-3.673930808,-4.620753951
-1.624608852,-2.695119488,-2.914273134,-3.008352709,-1.775487311,-4.964739551,-3.449399179,-3.772692783,-1.63416033,0.08285226,-2.663852085,-4.378418915,-4.583167329,-8.051868004,-5.665749711,-4.67790238,-6.02389106,-10.863775834,-5.808902561,-8.26706053,-0.030062224,-2.078708573,-2.855734759,-5.176033208,-9.803408305,-0.297474325,-0.412865676,-0.040512948,-0.914556015,-1.651915515
-3.262146414,-2.350825854,-3.215643639,-2.780239424,-2.719073316,-4.824404125,-3.306100979,-3.902070461,-2.016593117,-2.277814874,-2.538352664,-3.01708077,-3.493242251,-5.43736551,-4.448691994,-2.860168133,-5.68895407,-6.575312235,-4.082176695,-5.377200652,-1.994180983,-3.391945602,-1.607960094,-3.263901366,-6.20145061,-1.736634871,-2.330303002,-1.756671081,-2.202613631,-2.898403846
-3.080637712,-3.176090398,-2.993483794,-1.947276439,-0.72208901,-2.118223338,-2.009793468,-2.190328397,-1.363933626,-1.667587189,-3.4316574,-2.951436938,-5.47372662,-3.920222411,-2.540903066,-3.040889592,-5.99727735,-6.150487487,-2.553805462,-4.051380931,-1.898695954,-6.55865656,-2.280666668,-2.356395184,-1.995558361,-2.411419249,-3.26747914,-3.067316446,-2.914385522,-3.823386533
2.327404278,-1.813967019,2.315990793,0.660118505,0.93776578,2.521300441,0.691267351,1.872202072,0.314643905,-1.090093667,0.960950346,1.588499368,4.150990552,-0.503607357,-0.557343072,0.069869448,-2.133302104,-4.652420089,0.495057835,-1.436537062,2.400845467,0.727566745,1.195209774,0.444416852,-0.714532415,2.818160573,0.857082003,2.654991606,-0.47678133,0.359105051
0.806341306,-2.422295952,-3.74227952,-1.778791873,-3.252650011,-3.164125582,-2.169070935,-2.087237502,-0.715191596,-0.528266201,-0.803956565,-1.218306782,-3.309602461,-4.740156108,-3.953110634,-2.352821745,-3.528261108,-6.637827551,-3.466910636,-4.491002638,-3.749909057,-2.767563941,-0.391319587,-4.385833674,-3.586144165,-2.557620899,-3.32315773,-2.903907686,-0.628802281,-2.628963056
-0.770076461,-0.882530944,-1.957662934,-0.811913231,-1.487785087,-1.407787471,-1.25937106,-1.76987058,-0.980911806,-2.274862456,-1.27919838,-2.073894397,-1.529122613,-2.285597758,-1.861223912,-2.359274467,-3.66396342,-2.332723747,-2.029626097,-2.205585309,-1.24860295,-4.766817784,-0.937085116,-0.594196602,-1.496160762,-1.140676403,-1.744082369,-1.945189141,-1.293493093,-2.66231206
-1.919089261,-2.611921511,-2.257460197,-0.971122463,-2.692350251,-2.121078979,-1.276897879,-1.704130995,-1.049095685,-2.226526537,-1.833540263,-0.702245691,-3.490959288,-2.171913301,-1.965282399,-0.881825402,-0.805756139,-3.674252883,-1.36004634,-2.138691587,-0.914433461,-1.465085234,-0.05115158,-1.290399582,-2.517215641,-1.64481507,-1.169422002,-0.325088958,-0.802555391,-3.889214468
-4.29046467,-0.573465693,0.404974121,-1.752569249,1.24773051,-2.610844016,-2.025871289,-2.549850207,-1.730818458,0.860405826,-2.49934055,-2.854602233,0.998128928,-2.673895605,-1.524506437,-2.714472384,-4.908755542,-2.15502126,-1.242413291,-2.820570963,-0.435030314,-5.984348197,-2.439357442,-1.776341253,-1.929670454,-2.000351681,-3.530702513,-3.001929863,-3.330871278,-4.171189932
-2.749845772,-3.239137557,-1.829701948,-2.181052945,-2.102226485,-4.026112509,-2.562120763,-2.766206154,-1.919507687,-0.12629747,-1.625449565,-1.86935556,-1.543624587,-2.996826235,-2.655600013,-2.676431428,-2.561565794,-3.464349294,-1.976193162,-2.764286673,-1.555580231,-2.554540287,-1.947369848,-3.522952262,-5.14322632,-1.376188102,-2.272008192,-0.850102622,-3.353872861,-2.376433848
