"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
-6.053375709,-4.688478456,-6.403125406,-4.237710638,-3.838158806,-6.836602187,-4.809071572,-5.707933003,-3.886773659,-2.518011364,-5.167351578,-5.79908398,-9.736597563,-6.585580893,-6.206558927,-3.882742324,-4.440292143,-7.707704992,-5.131492229,-6.378923245,-4.325237937,-4.704788116,-5.1919077,-5.286020429,-5.73282556,-5.968369117,-3.905030014,-3.90102683,-3.2607021,-6.833536559
-2.389710237,-0.400793558,-1.687432786,-0.96257762,-0.736960638,-0.825201348,-0.9111488,-0.915672918,0.495768071,-0.672809446,-1.512845664,0.068883611,-5.020972776,-1.722407693,-2.647793004,-0.165711306,-2.502480594,-3.72318519,-0.692024681,-1.374109098,0.114355483,-3.286825155,-1.046655556,-4.683933677,-5.224594344,-0.996993513,-2.635104534,-1.271702638,-1.615931813,-3.935230857
-5.761677146,-4.60805719,-4.030427442,-4.079502367,-4.219447312,-5.695189316,-4.195938727,-3.621024853,-4.429527965,-3.260499665,-5.306383227,-4.304771672,-10.595593086,-4.696319132,-3.7399537,-2.242279643,-2.427883733,-3.104020331,-3.757362273,-4.031164571,-5.542732109,-4.848127247,-1.252287449,-2.621419171,-2.994896294,-4.475625927,-5.883469868,-2.75540618,-3.456177595,-3.117934411
-0.263426594,-1.025455458,2.840353106,1.627295418,1.500408914,-0.334169877,0.101293636,-1.912822244,3.085773557,-0.10312211,4.104923863,5.896364784,-5.275265337,6.069676369,5.119600953,4.39868089,0.013412852,7.231241888,1.648270995,7.370782147,0.862488397,-3.312088105,2.554479194,-2.326628621,-1.513532005,2.687350448,-3.29712861,-0.853530552,0.388910238,-2.334536747
-7.999824057,-5.121184388,-3.925020478,-5.073671527,-4.404623056,-9.220243174,-5.904226275,-6.044263127,-6.829812839,-4.165043307,-7.935830762,-5.976541376,-12.39922285,-5.670718687,-4.630445618,-4.461142324,-4.567232557,-3.384354423,-5.735870982,-4.946793318,-6.141982673,-5.929150059,-4.44186621,-4.461710026,-5.962347718,-5.968414158,-5.684161114,-4.206841032,-5.863888771,-3.847817241
-2.862098383,-1.880151827,-2.88138366,-1.717675383,-2.204900026,-2.273282983,-1.60270804,-1.680161167,-1.694387213,-1.559941455,-1.870659039,-1.85645676,-3.473142592,-2.219376476,-1.996052775,-0.737698944,-0.268489473,-2.4486176,-0.950784449,-1.878448889,-1.568011572,-0.78385963,-0.923714491,-3.089841501,-3.959437927,-1.792769492,-2.789210542,-0.839862533,-1.253971206,-4.087955103
-1.524213569,-1.649594149,-2.659788577,-2.396829445,-1.931641669,-2.268096573,-2.346438028,-1.291487884,-2.790101906,-1.004221184,-0.839887899,-2.878181486,-1.221749057,-4.462052689,-3.214550838,-2.931868041,-4.572769536,-6.550166371,-2.855815322,-4.48064236,-1.519377186,-0.784903045,-0.401851655,-2.297506284,-3.777096533,-0.834075286,-1.598746129,-0.478446444,-1.624080516,-2.4836564
-5.145299558,-2.582976463,-2.801721027,-2.93771436,-3.245835154,-5.273122517,-3.68912656,-4.416851802,-4.26302662,-3.430321223,-3.41009856,-2.730836061,-9.077158729,-2.359854879,-2.253815409,-2.92646556,-3.542947711,-0.051523258,-3.626931765,-1.182971537,-3.298696936,-5.294251041,-1.994954844,-2.573475,-4.140187093,-2.865963233,-2.611333344,-1.960711708,-3.416495617,-3.438615872
-5.915813072,-2.674425112,-2.973942424,-2.34352723,-2.087454187,-1.81812835,-2.139397743,-1.386426406,-1.449243071,-0.938762011,-1.817104268,-5.33377972,-2.645940919,-6.690833507,-5.246032404,-3.71737957,-3.089596086,-9.764925628,-2.645427113,-7.205322685,-0.716695148,-1.828444189,-4.038992105,-3.414241154,-5.109531453,-2.436240394,-1.966608088,-1.722151307,-1.707678745,-2.292364018
-0.38549224,-0.253678153,-1.074406438,0.829562428,-1.0240637,-0.907882982,-0.104070869,-2.581815484,1.636155857,-0.892498376,-1.533266001,1.029252275,-1.269218586,1.134897058,-0.044758908,-0.007895594,0.241976079,0.520657355,0.335899787,1.562906577,-2.06523745,-3.026860571,-1.741587105,-2.361720807,-3.730938758,-1.751458089,-2.473612607,-1.664290691,-1.330141714,-4.28332892
-5.569362212,-2.372174773,-3.339465331,-2.61705513,-3.135066854,-3.608346076,-2.894087574,-3.369315613,-3.89554959,-3.176427548,-3.210892383,-3.841894165,-5.949553493,-3.535055433,-3.174020828,-2.325968194,-2.245241368,-2.216111369,-2.509897524,-2.909261692,-2.918047048,-4.335119567,-2.825778829,-2.417015554,-4.353614605,-2.974020396,-3.528700999,-2.008334837,-3.746960519,-5.13038571
-3.693479432,-4.304119055,-3.898510022,-3.133158643,-2.956521834,-4.911386283,-3.362295667,-3.366595898,-3.249777548,-4.305610398,-4.042308273,-4.473155535,-6.083530798,-4.068555173,-4.118671943,-3.396588545,-4.246486485,-4.433481828,-3.318017695,-4.330916851,-3.700409759,-2.500254588,-3.963910879,-2.444806377,-1.76365774,-5.011480147,-4.391605273,-2.319414584,-2.91586397,-4.283878818
1.129413958,0.37118442,0.368447121,0.897149056,0.507352059,1.282344015,0.900686716,0.880062419,1.31914594,-0.465938096,1.633038107,1.057132526,-0.724125145,0.220945759,0.251788904,-0.342598889,-2.183491967,-3.084198162,0.934984225,-0.41635671,1.924005962,-2.63552049,-0.738600064,-1.41546911,-1.080623036,0.507903742,-0.100529517,0.432279399,-0.07344501,-2.423841574
